user_text,bot_response,source,clean_user_text,clean_bot_response
uska shot kya baat thi! 🔥,"haan, mind-blowing, superb!",Hinglish Everyday Conversations,uska shot kya baat thi!,"haan, mind-blowing, superb!"
"kal maine suna ki humare sheher mein ek naya park banne wala hai,lekin kya yeh sirf photo ops ke liye hoga ya sach mein logon ko fayda hoga?","bilkul, mujhe bhi samajh nahi aa raha, agar sirf decoration ke liye bana to koi matlab nahi, lekin agar community ke liye hai toh badhiya hai!",Hinglish Everyday Conversations,"kal maine suna ki humare sheher main ek naya park banne wala hai,lekin kya yeh sirf photo ops ke liye hoga ya sach main logon ko fayda hoga?","bilkul, mujhe bhi samajh nahi aa raha, agar sirf decoration ke liye bana to koi matlab nahi, lekin agar community ke liye hai toh badhiya hai!"
24 or 25 bhi upload kro abhi k abhi xD,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,24 or 25 bhi upload kro abhi k abhi xd,"samajh gaya, aur batao? main sun raha hun 🙂"
"sunna,ye new chai shop khula hai na, chandni chowk mein? wahan ki chai bahut famous hai","haan, heard about it too! kahi ek din milte hain aur wahan ki chai taste kar ke dekhte hain, alag hai kya!",Hinglish Everyday Conversations,"sunna,ye new chai shop khula hai na, chandni chowk mein? wahan ki chai bahut famous hai","haan, heard about it too! kahi ek din milte hain aur wahan ki chai taste kar ke dekhte hain, alag hai kya!"
10% daily achieve ni hu sakta bahi,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,10 daily achieve ni hoon sakta bahi,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
Already bana hwa hn 🤣,"wah, ye sun kar bohat acha laga! khush raho 😊",Roman Urdu Sentiment Support,already bana hwa hn,"wah, ye sun kar bohat acha laga! khush raho 😊"
Matlab ges wali niche Beth kar Kam nhi sakta aesa lagta he jese makad bahar a jayegi,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,matlab ges wali niche beth kar kam nhi sakta aesa lagta he jese makad bahar a jayegi,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
"sun,kal maine ek philosophy ka lecture suna, jismein yeh discuss hua tha ki kya humari reality sirf ek illusion hai, samajh nahi aaya kya sochun is baare mein!","wow, yeh toh kaafi deep hai, par mujhe lagta hai ki jo hum mehsoos karte hain, wahi asli hai, illusion ya reality, yeh toh humari soch pe depend karta hai!",Hinglish Everyday Conversations,"sun,kal maine ek philosophy ka lecture suna, jismein yeh discuss hua tha ki kya humari reality sirf ek illusion hai, samajh nahi aaya kya sochun is baare mein!","wow, yeh toh kaafi deep hai, par mujhe lagta hai ki jo hum mehsoos karte hain, wahi asli hai, illusion ya reality, yeh toh humari soch pe depend karta hai!"
"oye,tu aaj itna busy kyun hai? ek baar bhi mobile se nazar nahi hataayi!","arre, aaj toh deadline hai, presentation banana hai. abhi office se aayi hoon, aur presentation banate banate hi dinner ho gaya!",Hinglish Everyday Conversations,"oye,tu aaj itna busy kyun hai? ek baar bhi mobile se nazar nahi hataayi!","arre, aaj toh deadline hai, presentation banana hai. abhi office se aayi hoon, aur presentation banate banate hi dinner ho gaya!"
mjhy to watches achi lgti,"wah, ye sun kar bohat acha laga! khush raho 😊",Roman Urdu Sentiment Support,mjhy to watches achi lgti,"wah, ye sun kar bohat acha laga! khush raho 😊"
